[-0.00087981 -0.00107164  0.00157753 -0.03334578  0.02467426 -0.01779649  0.        ], [-0.01089371 -0.00827292  0.02864183 -0.4362668   0.10458104 -0.04637684  0.        ]
[-0.00401125 -0.00689932 -0.00154037 -0.08060175 -0.09255206 -0.11450437  0.        ], [-0.0019233  -0.00680681  0.00493765 -0.40655595  0.00178793  0.0064452  0.        ]
[0.02819784 0.04069337 0.04003167 0.08160118 0.07759357 0.20301985 0.99607843], [ 0.00449093  0.00460298  0.00451648 -0.34634176  0.08426514 -0.02228281  0.        ]
[ 0.0042647   0.00119468  0.00963212 -0.08060175 -0.0918822  -0.01618469  0.        ], [ 0.00148707 -0.00099693  0.00613039 -0.22260152  0.01174297  0.00080064  0.        ]
[ 0.01969822  0.01090747  0.02678058 -0.08060175 -0.09255206  0.00799228  0.        ], [ 0.00172698 -0.00046386  0.00640822 -0.13969672  0.05146339 -0.0262739  0.        ]
[ 0.02282966  0.02126779  0.01612775 -0.08060175  0.00591805  0.03055745  0.        ], [-0.00187602  0.00030501  0.00564449 -0.11016622 -0.02115336 -0.01667031  0.        ]
[ 2.28296595e-02  1.22025105e-02 -2.31984602e-03  4.99713421e-04 -7.80597846e-04 -6.67113405e-05  0.00000000e+00], [-8.6632375e-05 -1.2189999e-03  5.0463299e-03 -1.2761478e-01 -1.5767242e-03 -3.6476228e-02  0.0000000e+00]
[ 0.02797417  0.01285003 -0.00621723 -0.01738092  0.01127697 -0.09999819  0.        ], [-0.00563623 -0.00887857 -0.00664939 -0.06149014  0.0099304  -0.05065959  0.        ]
[ 0.01433004  0.01414507 -0.00569757 -0.00333185  0.00591805 -0.01618469  0.        ], [-0.00172719  0.00037948 -0.00156184 -0.09047705  0.03144833 -0.0491886  0.        ]
[ 2.38561160e-04 -1.00362692e-04  3.39631006e-03 -2.56826500e-02 -3.96327509e-02 -6.51390364e-03  4.39215686e-01], [ 0.00464689  0.00276731  0.00065581 -0.08658832  0.05157216 -0.03576834  0.        ]
[ 0.01611943  0.01317379  0.00443561 -0.03334578  0.00323859 -0.0081257  0.        ], [ 0.00276335 -0.00442987  0.00602804 -0.07583916  0.03871976 -0.03327494  0.        ]
[ 0.00515939 -0.0062518  -0.00128054 -0.02887562 -0.01618749 -0.01779649  0.99607843], [-1.4346397e-03 -7.6747201e-06  6.1584236e-03 -7.6061976e-03 -1.3391816e-02 -6.5596236e-05  0.0000000e+00]
[ 0.00113326 -0.00722308  0.00469544 -0.05569658 -0.09255206 -0.01618469  0.99607843], [-0.00289452  0.00120709  0.00295425  0.00774801  0.00455951  0.00052667  0.        ]
[ 0.01611943 -0.00819436  0.00235701 -0.08060175 -0.09255206 -0.13062236  0.99607843], [ 0.00351426  0.00063868 -0.00329896  0.23107064 -0.06157398  0.12868364  0.        ]
[ 0.01075125 -0.00819436  0.00755351 -0.08060175 -0.09255206 -0.01618469  0.99607843], [ 0.00490572  0.0129729   0.00343057  0.38909066 -0.13069288  0.25042588  0.        ]
[ 2.38561160e-04 -3.33796090e-03 -5.69757460e-03 -5.63351729e-02  2.26646669e-02 -8.71038073e-02  9.96078431e-01], [ 0.01294749  0.03991874  0.01851234  0.5703046  -0.250978    0.3014502  0.        ]
[ 0.01433004  0.01932523  0.00495526 -0.00333185  0.01797561  0.10792376  0.53333333], [0.00513352 0.00955009 0.01276755 0.343331   0.1272331  0.20113769 0.        ]
[ 0.01388269  0.0251529   0.00287666  0.00880144  0.07759357 -0.0129611  0.        ], [-0.00496564 -0.00769104 -0.00510637  0.15905395  0.0543558  -0.02222588  0.        ]
[ 0.00493572  0.01641139 -0.008036    0.00049971  0.07759357 -0.0129611  0.        ], [-0.00055857  0.00143554 -0.0075219  -0.05422367  0.00742563  0.04983683  0.        ]
